collocate,frequency,"doc,freq",MI score
was,8,1640,-3.6856649276242486
a,9,2501,-4.1245491688574605
she,2,752,-4.560773679796441
was,8,1640,-3.6856649276242486
chanced,1,9,8.33344526850202
the,35,4777,4.410764125418032
turned,1,53,5.7754498153811324
suddenly,2,29,7.645389274816759
plain,1,51,3.328444587443652
the,35,4777,1.9082637848888488
thought,2,190,2.4310143210842
i,4,4390,-1.0991352950075726
was,8,1640,-3.6856649276242486
the,35,4777,-3.0987909726451015
the,35,4777,-3.0987909726451015
daughter,2,65,-1.0285526411472572
betwixt,1,9,8.33344526850202
the,35,4777,4.410764125418032
and,9,3654,2.8380343527591547
me,2,1017,2.513266306086831
off,1,41,3.9581912621504767
the,35,4777,2.2231371222422607
s,3,684,1.4828532526038178
advantages,1,4,7.3157432667685605
fancy,1,10,8.029439081611919
the,35,4777,4.258761031972982
was,8,1640,3.671887076993835
being,1,61,5.420629838936395
only,2,110,2.1105758443373244
a,9,2501,-0.22642878287667387
at,6,587,1.2796813654730879
all,5,433,1.455640438022621
me,2,1017,-4.306912656328357
another,1,54,-1.0716961946343253
the,35,4777,-2.409414836997156
heart,1,78,-1.6022109113331051
and,9,3654,-5.827301564426022
the,35,4777,-4.254571791767145
and,9,3654,-5.827301564426022
hated,1,4,0.8380343527591549
thought,2,190,0.5335840547247477
this,2,560,-1.025843353889271
was,8,1640,-0.5760404364497503
in,5,1625,-1.2408562448601212
neil,1,32,4.673295271386643
the,35,4777,2.5806891268603445
should,1,184,2.1497333153296303
have,1,744,0.13413646027861195
you,3,1349,-4.537091493788736
miserable,2,3,3.69065813771722
how,1,112,-2.5317342836192283
could,1,277,-3.8381215276108125
not,1,627,-3.9113479942174343
the,35,4777,-1.7116325059416946
of,3,2869,-4.520396113462904
all,5,433,-1.055321481254758
such,1,87,1.7874082796891868
a,9,2501,0.11198743479925763
so,1,457,-0.6056985795201546
honest,1,27,3.4754642733744467
brave,1,22,5.75443203411205
merry,1,11,6.75443203411205
and,9,3654,1.54852773556417
then,1,194,2.6139508105622187
only,2,110,2.1105758443373244
a,9,2501,-0.22642878287667387
i,4,4390,-2.208069666560737
am,2,257,0.8863110086681057
befall,1,2,12.673295271386644
a,9,2501,5.554930930647986
at,6,587,7.061041078997747
all,5,433,7.237000151547281
that,4,1557,-4.535811186771431
a,9,2501,-4.049622298431052
  ,2,2,4.068742042307607
scarce,1,77,-2.198044498387295
about,1,149,0.23495823046232034
that,4,1557,-1.1504264781545552
at,6,587,0.8418725585355858
all,5,433,1.0178316310851194
in,5,1625,-4.337224639332353
the,35,4777,-3.085534875942835
to,7,2930,-4.702258758668543
be,2,930,-4.85401563741193
of,3,2869,-6.714406733429529
the,35,4777,-3.90564312590832
  ,2,2,3.186963018617979
to,7,2930,-5.522367008634028
a,9,2501,-4.7333584115329845
loyal,1,4,1.3850059292056736
at,6,587,-3.2272482631832227
all,5,433,-3.051289190633689
bad,1,11,7.75443203411205
ungrateful,1,3,9.62890115202819
to,7,2930,2.50453362549734
you,3,1349,2.4011515205222347
forgive,1,15,6.859514080169606
that,4,1557,2.161851446699088
"

 ",1,1,10.766404675778125
is,1,718,1.2785646419550736
my,2,1370,-5.1666250843091355
dear,1,49,-1.361374750576454
said,1,785,-5.363213750240235
i,4,4390,-5.846670130883966
by,1,425,-2.789342790663485
you,3,1349,-2.8707358918655324
here,1,229,-1.8972275477353646
am,2,257,-1.0636483088322988
entrapped,1,5,10.029439081611919
the,35,4777,5.258761031972982
into,1,117,5.481002456915877
an,1,230,4.505877125554906
a,9,2501,-4.7333584115329845
wise,1,14,-0.4223489928519306
with,1,922,-6.463617011223665
the,35,4777,-3.707600215320626
to,7,2930,-5.552719705174973
the,35,4777,-3.9359958224492657
the,35,4777,-3.9359958224492657
more,2,382,-4.4208185059587155
cleared,1,2,12.673295271386644
the,35,4777,6.580689126860345
again,1,160,6.351367176499281
in,5,1625,5.328999363470826
whereupon,1,14,7.058585427271436
the,35,4777,3.7733342048027403
who,1,107,4.124473362927893
had,1,707,1.4003739445196404
found,1,66,2.5845070326697366
the,35,4777,1.5362950075018909
once,1,70,2.4996181350832236
more,2,382,1.0514723239924413
of,3,2869,-6.714406733429529
the,35,4777,-3.90564312590832
shrinking,1,1,3.186963018617979
and,9,3654,-5.478372898567198
for,1,888,-4.915536461313569
the,35,4777,-2.2137267394897617
and,9,3654,-3.7864565121486393
sorry,1,13,1.1784396868954452
to,7,2930,-5.552719705174973
the,35,4777,-3.9359958224492657
and,9,3654,-5.508725595108143
a,9,2501,-4.961754018661625
fact,1,23,5.626171359272618
the,35,4777,3.057127170803332
my,2,1370,0.7297731374817416
daughter,2,65,5.127365502301176
until,1,21,5.888660425829123
the,35,4777,3.1883717040815838
returned,1,20,5.959049753720521
and,9,3654,1.6156419314227068
when,1,234,-1.0674341677801658
the,35,4777,-0.28967559272306026
was,8,1640,-0.8765495477022072
as,1,628,-2.491690197088388
be,2,930,-4.048878540604144
the,35,4777,-2.280397779135049
made,1,180,-2.679644730938425
that,4,1557,-3.7923448636877874
this,2,560,-2.5852707625032894
miserable,2,3,4.959049753720521
says,1,243,-2.3808002491641043
she,2,752,-3.0105765972359606
in,5,1625,-4.337224639332353
the,35,4777,-3.085534875942835
looked,1,56,-1.80028365347414
at,6,587,-2.605182923805432
in,5,1625,-4.337224639332353
the,35,4777,-3.085534875942835
than,1,195,-3.6002590451661463
i,4,4390,-6.092933955839257
suddenly,2,29,5.9573332811315
the,35,4777,2.7227081317327726
was,8,1640,2.135834176753625
changed,1,18,5.645389274816759
was,8,1640,-3.6856649276242486
the,35,4777,-3.0987909726451015
s,3,684,-3.8390748422835443
father,1,120,-2.9130754237273218
on,1,526,-3.4045427071979613
the,35,4777,-1.458229862431958
s,3,684,-2.198513732070401
kerchief,1,6,3.0494137813731848
to,7,2930,-5.552719705174973
the,35,4777,-3.9359958224492657
and,9,3654,-5.508725595108143
through,1,52,-2.543829396064059
see,1,226,-0.9670626534437321
the,35,4777,-0.23948983555484346
bounding,1,3,5.268153808250299
at,6,587,0.24086211658255977
carry,1,12,7.503370269944332
the,35,4777,3.9957266261391884
to,7,2930,2.3790027434134813
paris,1,2,10.088332770665488
